locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Bachupally,Builder Floor Apartment,2,2,2,Unfurnished,Resale,1150,4900000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,950,5000000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,1160,5500000
Bachupally,Apartment,2,2,2,Unfurnished,Resale,950,4000000
Bachupally,Apartment,2,2,1,Semi-Furnished,Resale,1150,4300000
Bachupally,Apartment,2,2,1,Furnished,Resale,975,4200000
Bachupally,Apartment,3,3,4,Semi-Furnished,Resale,1560,8600000
Bachupally,Apartment,3,3,1,Semi-Furnished,Resale,1560,6666999
Bachupally,Apartment,2,2,2,Unfurnished,Resale,1193,7000000
Bachupally,Apartment,2,3,5,Unfurnished,New Property,1353,7784247
Bachupally,Apartment,2,3,0,Unfurnished,New Property,1290,5500000
Bachupally,Apartment,2,2,4,Unfurnished,Resale,1295,7200000
Bachupally,Apartment,3,3,10,Unfurnished,Resale,1651,8255000
Bachupally,Builder Floor Apartment,3,3,2,Semi-Furnished,Resale,1620,6800000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,1195,6573000
Bachupally,Apartment,2,2,4,Unfurnished,Resale,1193,7270000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,900,4500000
Bachupally,Apartment,3,3,3,Semi-Furnished,Resale,1353,7034247
Bachupally,Builder Floor Apartment,2,2,1,Semi-Furnished,Resale,1135,4600000
Bachupally,Apartment,2,2,1,Unfurnished,Resale,1000,5000000
Bachupally,Apartment,2,2,3,Semi-Furnished,Resale,1300,6000000
Bachupally,Apartment,2,2,11,Unfurnished,Resale,918,4300000
Bachupally,Apartment,2,2,1,Unfurnished,New Property,1150,4030000
Bachupally,Apartment,2,3,4,Semi-Furnished,Resale,1375,5535000
Bachupally,Apartment,3,4,15,Unfurnished,New Property,2021,10000000
Bachupally,Apartment,1,1,1,Furnished,Resale,607,2850000
Bachupally,Apartment,2,2,4,Unfurnished,Resale,1150,5600000
Bachupally,Apartment,2,2,2,Unfurnished,Resale,1055,4300000
Bachupally,Apartment,2,3,5,Semi-Furnished,Resale,1300,4900000
Bachupally,Apartment,2,2,1,Semi-Furnished,New Property,1100,4800000
Bachupally,Apartment,3,3,5,Furnished,New Property,2000,8500000
Bachupally,Apartment,1,2,1,Semi-Furnished,Resale,985,4740000
Bachupally,Builder Floor Apartment,2,2,0,Unfurnished,Resale,1185,4000000
Bachupally,Apartment,3,3,5,Semi-Furnished,Resale,1700,6500000
Bachupally,Apartment,2,2,1,Unfurnished,New Property,1535,7675000
Bachupally,Apartment,2,2,2,Unfurnished,Resale,1260,4200000
Bachupally,Builder Floor Apartment,2,2,4,Semi-Furnished,Resale,1175,3995000
Bachupally,Apartment,2,2,4,Unfurnished,Resale,1150,4800000
Bachupally,Apartment,2,2,2,Unfurnished,New Property,1015,4500000
Bachupally,Apartment,2,2,0,Semi-Furnished,Resale,1100,5050000
Bachupally,Apartment,2,2,3,Furnished,Resale,1050,4450000
Bachupally,Apartment,2,2,1,Unfurnished,New Property,1535,7675000
Bachupally,Apartment,1,1,2,Furnished,Resale,800,3800000
